id,real_age,user_setage,gender,playcard_level,playcard_point,playcard_coupon_num,is_push_open,utm_channel,signup_day,app_version,manufacturer,model,label
8612,35,,2,66,800,160,1,36,143,106,90,2135,0
8613,36,,2,68,400,0,1,12,476,68,100,622,0
8614,24,,2,23,400,120,1,,457,26,90,1610,0
8615,23,0,2,65,500,30,1,,710,26,90,1610,0
8616,41,0,1,125,600,0,1,,1373,73,100,365,1
8617,22,0,1,64,500,10,0,,639,68,100,2121,0
8618,,,1,,,,1,,699,68,216,1839,0
8619,32,1,1,7,200,0,1,,556,23,110,1078,1
8620,22,,1,66,500,50,1,43,685,73,49,1553,0
8621,23,0,2,47,500,80,1,43,721,106,90,1610,0
8622,30,,1,74,0,30,1,,242,73,100,150,0
8623,24,1,1,66,400,0,1,7,352,68,62,2036,0
8624,44,0,2,12,600,70,1,,572,78,100,1114,0
8625,19,1,2,40,700,0,1,43,885,26,90,702,0
8626,31,0,1,54,100,120,1,,333,106,90,2135,0
8627,24,,2,67,500,0,0,,76,73,100,706,0
8628,25,0,1,71,200,0,0,7,216,30,62,1597,0
8629,23,,1,45,0,230,1,42,77,88,90,1892,0
8630,24,0,1,75,800,50,1,43,678,68,100,2164,0
8631,26,0,1,18,900,30,0,43,669,106,90,782,0
8632,28,0,2,23,200,150,0,7,601,64,216,659,0
8633,34,0,2,64,400,0,0,,594,106,90,1892,0
8634,25,0,2,80,800,0,1,7,439,106,90,327,0
8635,28,0,2,53,100,10,1,43,310,73,216,1473,0
8636,25,0,1,79,200,0,1,,617,68,216,1839,0
8637,38,0,1,51,600,0,1,,615,23,100,1395,0
8638,19,0,2,66,600,0,1,,276,106,90,592,0
8639,20,,2,3,0,0,1,,35,29,216,2048,0
8640,25,,1,58,600,10,1,7,204,68,219,1720,0
8641,24,0,2,71,600,20,1,43,412,106,90,83,0
8642,31,0,2,75,200,0,0,43,637,106,90,702,0
8643,20,0,1,67,100,340,1,12,322,68,216,1942,0
8644,20,0,1,69,700,40,1,,304,68,216,726,0
8645,23,0,1,9,500,10,1,,1461,30,216,1942,0
8646,28,0,1,29,200,40,0,,1196,68,100,769,0
8647,26,0,2,71,900,0,1,,602,9,90,592,0
8648,24,0,2,8,0,30,1,7,279,29,216,1289,0
8649,28,,1,29,500,20,1,,175,30,90,782,0
8650,33,0,2,76,600,10,0,7,699,68,216,1158,0
8651,29,,2,16,0,10,1,7,381,29,110,1058,0
8652,33,,2,177,200,0,1,7,15,73,62,2272,1
8653,33,,1,26,800,70,1,7,199,30,216,759,0
8654,37,,1,28,500,20,0,,146,73,100,804,0
8655,23,0,2,76,400,50,1,12,448,68,216,1562,0
8656,49,0,2,53,500,0,1,,157,30,90,369,1
8657,24,,1,59,600,0,1,12,390,106,90,782,0
8658,68,1,2,21,600,0,1,,448,29,100,727,1
8659,25,,2,50,500,0,1,,358,68,62,1478,0
8660,29,0,1,81,600,10,1,43,685,106,90,782,0
8661,34,1,1,66,600,0,1,40,431,68,100,622,1
8662,19,0,1,52,900,0,1,43,222,106,90,1407,0
8663,21,,2,11,500,0,1,,142,74,100,895,0
8664,29,,1,69,100,10,0,,74,73,100,1403,0
8665,26,0,1,64,500,0,1,,302,106,90,83,0
8666,23,,2,66,700,30,1,7,51,68,110,68,0
8667,18,0,2,65,0,0,1,,313,68,216,1839,0
8668,26,0,2,64,600,0,1,,106,106,90,2092,0
8669,30,0,1,14,100,10,1,,2024,26,90,83,0
8670,22,0,2,59,700,140,1,,1757,73,62,1870,0
8671,43,0,1,61,500,320,1,,858,68,216,408,0
8672,30,,1,62,500,20,0,7,212,68,40,551,0
8673,42,0,2,39,200,0,1,43,582,23,216,1625,0
8674,29,0,2,59,800,0,0,,748,68,100,812,0
8675,25,0,1,47,900,60,1,,607,68,216,475,1
8676,32,0,1,59,700,90,1,43,382,68,216,202,0
8677,27,0,2,78,0,50,0,43,418,106,90,1892,0
8678,24,0,1,7,300,70,0,,195,30,90,782,0
8679,28,0,2,45,600,0,1,,646,106,90,592,0
8680,25,0,2,6,700,0,1,7,520,29,216,1737,0
8681,21,,1,43,400,20,1,,395,68,219,1699,0
8682,50,0,2,35,400,0,1,,547,74,62,1371,0
8683,34,0,2,76,800,0,1,,679,68,62,655,0
8684,39,,1,64,400,230,1,,193,106,90,83,0
8685,27,0,2,60,500,10,1,43,601,106,90,1782,0
8686,29,,1,67,0,270,1,,205,106,90,83,0
8687,24,0,2,57,300,0,1,,152,73,100,2121,0
8688,21,0,2,61,600,0,1,7,1668,68,100,706,0
8689,21,0,2,66,800,0,1,7,770,68,62,1039,0
8690,23,0,2,60,700,80,1,,683,106,90,1892,0
8691,20,0,1,14,200,0,1,,414,29,100,2181,0
8692,20,0,2,65,600,0,1,43,289,68,216,962,0
8693,24,,1,36,900,20,0,,17,106,90,2279,0
8694,22,0,1,25,300,10,1,7,672,68,62,1398,0
8695,60,,2,15,400,0,1,14,117,29,62,2084,0
8696,37,,2,64,100,20,1,43,121,68,62,129,0
8697,27,0,2,33,300,30,1,,218,73,100,661,0
8698,25,0,1,70,700,20,1,43,677,68,62,864,0
8699,,,2,,,,1,,849,73,216,1388,0
8700,28,0,2,80,0,0,1,,216,68,216,1473,0
8701,22,0,1,39,300,0,1,,578,29,110,383,0
8702,25,0,1,98,700,20,1,,382,68,62,931,0
8703,36,,2,68,600,10,1,,290,99,90,2279,0
8704,37,1,1,62,900,0,1,43,633,29,110,1058,1
8705,26,0,2,74,400,40,1,,603,106,90,702,0
8706,32,0,2,61,300,30,1,,417,30,90,1277,0
8707,33,0,2,74,500,0,1,43,673,68,110,121,0
8708,51,0,1,22,100,20,1,,150,30,90,782,1
8709,27,0,2,63,400,0,1,,362,68,62,1478,0
8710,25,0,1,65,100,10,1,43,671,106,90,1610,0
8711,29,0,2,67,0,160,1,7,445,68,62,480,0
8712,26,0,2,25,300,80,1,,298,106,90,2092,0
8713,31,0,2,59,900,0,0,43,603,68,216,1462,0
8714,35,0,1,40,900,0,1,7,374,68,62,254,0
8715,43,,1,80,800,0,1,7,142,68,100,2016,0
8716,,,0,,,,1,7,555,68,100,1318,0
8717,28,0,2,46,900,70,0,43,672,106,90,592,0
8718,32,,2,82,100,10,0,,184,68,100,1508,0
8719,25,0,1,99,800,0,0,12,580,68,216,659,0
8720,31,0,2,71,800,10,0,,595,106,90,1782,0
8721,33,,1,10,0,190,0,,349,62,216,726,1
8722,40,0,2,20,500,10,1,,603,73,216,2041,0
8723,25,0,1,71,0,0,1,7,248,68,216,2041,0
8724,33,0,1,82,0,20,0,,485,68,216,1704,0
8725,24,0,2,55,600,170,1,43,595,23,216,1704,0
8726,43,1,1,16,900,0,0,3,66,66,100,1372,0
8727,32,0,1,63,700,0,1,,297,68,216,777,0
8728,25,,2,51,400,0,1,,176,68,100,256,0
8729,23,0,2,55,400,20,1,12,474,106,90,348,0
8730,30,0,2,33,400,20,0,43,600,23,100,1403,0
8731,51,,2,81,0,0,1,42,145,106,90,1444,0
8732,22,0,1,46,800,270,1,43,584,23,62,1891,0
8733,29,0,2,63,0,0,1,7,636,68,100,1451,0
8734,27,0,1,77,900,10,1,,616,68,62,2272,0
8735,63,1,2,40,900,210,1,50,71,68,216,436,0
8736,70,,2,32,600,0,1,,331,68,62,1891,0
8737,43,0,1,26,500,0,1,7,255,106,90,1892,0
8738,24,0,2,51,0,10,0,,418,68,62,70,0
8739,26,0,1,58,300,60,1,43,679,106,90,2279,0
8740,31,0,2,67,300,10,0,7,604,68,100,2017,0
8741,21,,1,51,100,10,1,7,134,73,216,932,0
8742,24,0,2,60,800,20,0,7,677,106,90,327,0
8743,24,,2,,,,0,,620,68,100,1508,0
8744,18,0,2,49,400,0,0,43,511,68,216,1158,0
8745,27,,2,73,700,200,1,43,597,68,216,436,0
8746,36,0,1,77,500,180,0,,578,106,90,369,0
8747,25,0,1,9,700,0,1,43,658,29,216,2041,0
8748,24,0,2,14,900,40,1,,917,29,62,2126,0
8749,31,0,1,74,500,40,1,,562,68,216,526,0
8750,57,0,2,7,0,0,1,,384,23,100,1761,1
8751,34,0,2,86,700,30,1,7,620,106,90,1444,0
8752,22,,1,19,100,60,1,,627,30,90,702,0
8753,50,1,1,36,700,0,1,7,420,106,90,327,0
8754,58,0,2,13,200,230,1,,11,30,90,1201,1
8755,23,0,1,30,600,30,1,,706,30,90,782,0
8756,49,0,1,15,300,0,0,,349,26,90,2279,0
8757,37,0,2,71,700,0,1,43,611,68,216,659,0
8758,66,0,2,71,900,0,1,7,556,68,100,1126,0
8759,30,0,2,54,600,0,1,,523,106,90,2092,0
8760,33,0,1,57,600,170,1,43,643,106,90,782,0
8761,22,,2,33,500,0,1,43,699,99,90,1402,0
8762,18,0,2,46,700,0,1,43,591,68,62,1398,0
8763,31,0,1,33,700,10,1,,714,106,90,83,0
8764,40,1,2,45,300,310,1,,589,29,62,1714,1
8765,26,0,2,72,700,10,0,43,624,106,90,327,0
8766,42,1,1,67,500,0,1,,411,68,62,414,0
8767,21,,2,30,400,130,0,7,66,74,100,1395,0
8768,63,0,2,67,400,10,0,7,424,68,100,895,0
8769,60,1,2,9,400,180,1,43,419,29,110,1581,1
8770,29,,2,15,200,20,1,,96,2,90,782,0
8771,27,0,1,51,100,0,1,7,338,68,62,71,0
8772,18,0,1,46,0,0,1,,583,68,216,460,0
8773,53,0,2,58,700,30,1,,488,9,90,782,
8774,32,0,2,15,200,0,0,7,595,29,100,1718,0
8775,22,0,1,69,900,0,1,7,313,68,62,242,0
8776,19,0,2,69,600,70,1,43,597,68,62,1870,0
8777,27,0,2,78,600,50,1,43,294,68,216,1267,0
8778,30,,2,70,0,10,1,14,129,9,90,237,0
8779,30,0,2,28,700,130,1,,259,106,90,298,0
8780,38,1,2,39,400,0,1,,171,73,207,2225,0
8781,22,0,2,19,0,0,0,,637,73,100,38,0
8782,73,0,2,66,900,0,1,7,1163,68,110,1,0
8783,20,0,1,63,700,10,1,,515,73,62,86,0
8784,19,,2,74,400,0,1,20,102,68,62,2061,0
8785,84,0,2,4,900,0,0,7,570,88,90,1402,0
8786,19,0,2,39,400,20,1,43,590,64,100,845,0
8787,43,,1,45,900,120,1,,22,74,100,2000,1
8788,,0,2,43,400,140,1,,729,106,90,2135,0
8789,29,,1,66,200,10,0,,72,106,90,2135,0
8790,29,,1,76,100,10,1,7,328,29,62,1358,0
8791,28,0,2,72,700,10,1,43,642,68,62,242,0
8792,23,0,1,83,100,10,1,,203,68,216,1608,0
8793,30,,1,34,0,20,0,,35,26,90,782,0
8794,24,0,1,12,400,10,1,,633,29,100,150,0
8795,36,0,2,70,300,120,1,,703,106,90,782,0
8796,35,,2,61,400,10,0,,592,106,90,67,0
8797,28,0,1,57,300,10,1,,533,106,90,83,0
8798,18,0,2,54,800,0,1,43,110,73,100,1481,0
8799,40,,1,21,300,0,0,7,35,23,100,2268,0
8800,26,0,2,13,100,10,1,,611,62,216,1810,0
8801,20,0,1,32,700,90,1,7,251,88,90,83,0
8802,27,0,2,60,300,0,0,,853,23,62,254,0
8803,31,0,2,80,0,680,1,43,604,106,90,782,0
8804,67,0,1,11,800,30,1,40,374,30,90,1077,0
8805,44,0,2,32,0,0,1,7,477,73,216,747,0
8806,50,1,2,19,500,10,1,,497,30,90,2279,1
8807,29,0,2,33,700,80,1,7,149,29,216,454,0
8808,70,,0,9,300,0,1,,54,30,90,782,1
8809,25,,2,27,200,10,0,,62,29,100,1599,0
8810,28,0,1,61,200,450,1,43,665,39,216,202,0
8811,33,0,1,37,0,700,1,43,691,68,216,726,0
8812,49,,2,68,500,0,1,12,221,106,90,2135,0
8813,23,,1,45,600,30,0,,1913,106,90,782,0
8814,46,,2,15,300,80,0,,56,30,90,1201,0
8815,24,0,1,13,600,190,0,,1552,30,100,1881,0
8816,29,,2,32,200,0,0,,40,39,100,1851,0
8817,19,1,1,76,0,50,1,,319,106,90,237,0
8818,40,0,1,3,600,190,1,7,617,39,62,2061,0
8819,,,1,,,,1,,678,68,62,655,0
8820,22,0,2,84,300,0,1,43,941,68,62,2036,0
8821,23,0,2,65,0,10,1,43,608,68,216,436,0
8822,29,0,2,96,0,40,1,43,755,68,216,747,0
8823,,,1,,,,0,,614,68,216,1973,0
8824,23,0,2,66,800,50,0,43,490,106,90,237,0
8825,46,,1,34,600,0,0,,154,78,100,2164,0
8826,24,0,1,49,200,20,1,43,500,74,216,198,0
8827,37,0,2,70,100,740,1,43,518,68,216,145,0
8828,34,0,1,63,900,150,1,7,563,68,100,706,0
8829,46,,1,31,500,0,1,,394,73,100,233,1
8830,23,,2,62,200,10,1,,427,23,100,2181,1
8831,27,,1,44,900,0,1,,275,73,110,1060,
8832,29,,2,77,200,0,1,,384,68,216,317,0
8833,18,0,2,68,0,0,1,,257,106,90,83,0
8834,31,,1,114,800,0,0,,321,8,62,242,0
8835,19,,1,68,100,0,1,,441,68,62,1238,0
8836,25,0,1,28,200,30,1,43,48,73,216,1242,0
8837,36,0,2,58,600,40,1,,665,23,216,1112,0
8838,24,0,1,51,0,20,1,43,333,74,216,1436,0
8839,19,1,2,59,400,20,1,7,619,106,90,2135,0
8840,21,0,2,76,0,0,1,,664,68,216,962,0
8841,35,,2,51,100,0,0,43,575,68,40,2149,0
8842,24,,1,18,400,40,0,,319,88,90,782,0
8843,22,0,2,29,700,0,1,7,580,66,100,1126,0
8844,24,0,2,67,800,0,1,43,760,73,216,1026,0
8845,47,1,2,68,100,0,1,7,208,68,62,687,0
8846,25,0,1,47,500,0,1,,652,73,40,315,0
8847,25,0,2,10,800,70,1,,613,106,90,2279,0
8848,48,0,2,52,800,0,0,7,287,23,100,1481,1
8849,25,0,1,56,800,10,0,,641,68,100,1508,0
8850,72,0,2,40,800,0,0,7,554,68,219,1749,0
8851,25,0,2,67,900,0,0,,639,9,90,1610,0
8852,22,0,1,27,300,0,1,,1323,29,62,1398,0
8853,20,0,1,33,500,10,1,20,51,68,62,1447,0
8854,30,,2,74,500,10,1,,92,106,90,782,0
8855,27,,2,45,300,10,0,44,853,23,62,254,0
8856,20,0,2,78,900,0,1,,904,73,100,1395,0
8857,50,0,2,41,0,0,0,43,671,106,90,2135,0
8858,27,,0,,,,0,43,555,68,62,2084,0
8859,22,0,2,10,900,0,0,,775,30,90,298,0
8860,19,0,2,53,0,0,1,7,225,73,216,460,0
8861,27,,1,79,600,0,1,,147,106,90,83,0
8862,23,1,1,62,100,0,1,7,429,106,90,83,0
8863,38,0,2,70,900,0,1,,1150,9,90,1189,0
8864,49,0,2,99,400,0,0,,857,106,90,592,0
8865,20,,2,77,0,0,1,20,358,68,216,350,0
8866,30,0,1,69,100,0,1,43,612,59,216,2150,0
8867,21,0,1,65,900,20,1,43,715,68,62,1811,0
8868,24,,2,67,700,10,0,,380,106,90,782,0
8869,64,1,2,38,400,0,1,,625,73,62,1891,0
8870,22,,1,33,500,20,1,,347,23,100,903,0
8871,27,,1,60,200,10,1,20,126,68,216,1973,0
8872,23,0,1,27,500,0,0,7,318,66,100,769,0
8873,23,0,2,66,900,10,0,,489,106,90,2135,0
8874,38,1,2,29,900,0,0,7,559,30,90,232,0
8875,21,,1,4,0,190,1,7,153,29,62,1417,0
8876,41,1,2,52,900,0,1,,442,106,90,1189,0
8877,26,0,1,67,700,0,1,,648,23,100,706,0
8878,28,,2,6,200,0,0,,631,26,90,702,0
8879,20,0,2,36,100,0,1,43,879,106,90,782,0
8880,20,0,2,80,800,10,1,44,678,106,90,327,0
8881,32,,1,13,600,0,1,,247,64,62,1870,0
8882,,,1,,,,1,,635,68,110,1637,0
8883,27,,1,43,300,0,1,43,82,58,90,592,0
8884,,,0,,,,,,700,106,90,2279,0
8885,46,0,1,99,0,0,1,,687,78,216,726,0
8886,37,0,2,62,600,0,1,,585,68,216,584,0
8887,20,,2,69,300,0,1,,413,68,40,18,0
8888,65,,1,12,300,370,1,,684,29,62,931,0
8889,,,2,,,,0,,585,29,62,129,0
8890,41,0,2,27,600,0,0,,627,68,100,365,0
8891,27,,1,18,600,0,1,,51,106,90,592,0
8892,,,2,,,,0,,625,30,100,216,1
8893,29,0,2,70,700,170,1,43,716,68,216,962,0
8894,22,0,1,75,700,40,1,7,577,68,216,1740,0
8895,20,,2,66,800,10,1,25,346,68,62,1321,1
8896,20,0,1,67,500,10,1,12,717,106,90,782,0
8897,31,0,2,66,300,100,0,14,317,59,62,394,0
8898,,,2,,,,1,,675,106,90,2135,0
8899,25,0,1,65,700,40,1,43,631,68,100,1919,0
8900,29,,1,46,200,0,0,,389,23,100,1074,0
8901,31,0,2,75,800,60,0,,620,106,90,1610,0
8902,56,0,2,26,800,10,1,,842,73,100,537,
8903,24,,1,74,0,0,1,,183,73,110,457,0
8904,29,0,1,66,700,30,1,43,656,73,216,1242,0
8905,45,,1,38,100,0,0,7,22,68,216,167,1
8906,29,0,2,35,400,160,1,43,596,106,90,83,0
8907,25,,2,71,300,0,0,43,434,106,90,782,0
8908,23,0,2,14,0,0,0,7,437,23,100,1074,1
8909,21,0,1,29,400,10,1,7,568,58,90,237,0
8910,23,0,2,81,400,50,0,,596,106,90,2135,0
8911,30,0,2,81,400,10,1,,255,73,62,1478,0
8912,32,0,1,47,0,10,0,,671,73,62,1924,0
8913,34,,2,29,700,0,1,7,35,73,62,936,1
8914,25,0,1,63,100,640,1,44,599,68,110,917,0
8915,25,0,1,71,500,0,1,43,435,106,90,702,0
8916,35,,1,44,700,20,1,,97,64,100,1813,0
8917,26,0,1,76,300,30,1,43,383,68,216,1704,0
8918,25,0,1,81,100,0,0,43,499,26,90,1610,0
8919,31,,1,82,900,0,1,,106,68,216,1462,0
8920,27,0,2,72,500,10,1,43,709,106,90,782,0
8921,33,,2,68,800,0,0,,38,68,100,1813,0
8922,48,1,2,23,100,0,1,,409,74,216,481,0
8923,69,1,2,36,500,0,1,7,407,29,62,1314,1
8924,42,,1,63,900,150,1,,631,68,216,968,0
8925,21,,2,78,0,0,1,,393,68,62,1039,0
8926,21,1,1,33,0,0,1,,516,26,90,782,1
8927,18,0,2,11,400,40,1,43,772,29,62,2036,1
8928,21,,1,56,0,0,1,,28,68,216,1112,0
8929,21,0,2,64,700,0,0,,1675,106,90,1610,0
8930,28,,2,53,700,0,1,,427,68,62,242,0
8931,23,0,2,70,900,10,1,,679,68,219,1281,0
8932,22,0,1,35,900,150,1,,1548,73,100,769,0
8933,43,,1,80,600,0,1,7,176,68,62,687,0
8934,40,0,1,80,500,50,0,,660,78,100,706,0
8935,22,0,1,100,100,10,1,,804,106,90,592,0
8936,27,,1,25,500,0,1,,49,30,100,1896,0
8937,56,0,1,63,100,0,1,7,378,68,62,545,0
8938,22,0,1,63,200,0,0,43,720,9,90,1610,0
8939,19,0,2,67,300,120,1,14,302,68,62,2117,0
8940,68,0,2,48,0,0,0,,493,68,100,845,1
8941,23,,2,79,0,60,0,,389,9,90,1892,0
8942,41,0,2,27,100,0,1,,260,68,62,936,0
8943,26,0,2,81,300,50,0,,390,106,90,237,0
8944,34,0,2,80,0,0,0,,496,106,90,1610,0
8945,,,1,,,,,,656,73,100,706,0
8946,25,0,2,77,200,310,1,,614,68,62,1793,0
8947,22,0,2,61,400,90,0,,1184,106,90,237,0
8948,21,0,2,32,200,0,1,,581,106,90,2135,0
8949,28,0,2,96,200,110,1,43,688,68,62,86,0
8950,48,0,2,52,100,0,0,,289,68,100,706,0
8951,28,,2,65,800,0,0,,297,106,90,782,0
8952,21,0,2,72,500,0,1,43,568,106,90,2279,0
8953,31,0,2,66,100,20,0,,572,106,90,782,0
8954,39,,2,17,200,210,1,,72,29,62,775,0
8955,28,0,1,72,500,10,1,,277,106,90,1892,0
8956,40,0,2,70,500,20,1,,753,68,216,575,0
8957,18,1,1,53,700,0,1,14,245,73,62,445,0
8958,45,,1,67,900,0,1,,415,68,216,1002,0
8959,21,,1,19,500,30,1,,546,73,100,256,0
8960,25,0,1,71,700,0,1,7,263,68,62,830,0
8961,21,0,1,75,300,10,0,43,760,68,100,1880,0
8962,26,0,1,81,800,0,1,,618,106,90,782,0
8963,21,0,1,67,700,0,1,7,631,73,62,1793,0
8964,62,0,1,44,200,0,1,,558,73,100,895,0
8965,31,0,2,67,400,0,0,43,232,9,90,782,0
8966,20,0,2,85,200,0,1,7,628,106,90,2092,0
8967,27,0,2,28,0,10,1,43,582,26,90,237,0
8968,27,0,1,63,800,0,1,7,611,73,62,2061,0
8969,32,,1,66,400,10,0,,2342,106,90,592,0
8970,39,0,2,80,500,10,1,,519,68,216,726,0
8971,24,0,1,17,200,10,1,7,665,68,62,483,0
8972,37,0,2,72,700,10,1,43,457,26,90,1610,0
8973,20,,1,14,0,40,1,43,567,62,216,274,0
8974,65,1,2,54,600,0,1,,358,73,100,1395,1
8975,22,,2,14,200,0,1,,85,74,216,726,0
8976,24,0,1,39,800,0,1,,1150,9,90,83,0
8977,67,0,1,76,600,20,1,7,252,73,216,1063,
8978,19,1,2,68,100,0,1,7,258,73,62,2272,0
8979,26,0,2,75,0,40,1,,204,106,90,592,0
8980,31,0,2,22,100,0,1,,136,68,216,1151,1
8981,23,0,1,65,100,30,1,12,588,106,90,2092,0
8982,51,0,2,38,500,0,1,,43,58,90,327,0
8983,19,0,1,60,100,10,1,,230,68,62,1007,0
8984,39,,1,80,0,0,1,7,114,68,219,2134,0
8985,39,1,2,26,100,0,1,,513,78,62,2061,0
8986,40,,1,74,0,10,0,,445,106,90,772,0
8987,56,,1,15,600,0,1,,83,29,216,968,0
8988,19,0,2,43,200,90,1,7,210,64,62,1314,0
8989,67,,1,7,800,60,1,31,31,74,216,726,
8990,,0,1,76,200,0,1,,248,68,110,159,0
8991,40,1,1,64,800,0,1,,574,68,216,454,0
8992,24,0,1,24,100,130,0,,633,106,90,592,0
8993,,,2,,,,1,,652,68,100,148,1
8994,36,,2,66,300,0,1,3,162,66,40,1118,0
8995,19,0,2,77,300,10,1,12,592,68,216,2246,0
8996,27,0,2,28,100,70,1,,151,30,90,1892,0
8997,22,,2,60,600,0,1,,151,68,62,2272,0
8998,20,,2,46,500,0,1,,151,30,90,782,0
8999,,,2,,,,1,,556,29,100,650,0
9000,26,0,2,71,400,350,1,7,370,68,62,527,0
9001,27,,2,5,700,40,1,,544,23,110,2207,
9002,18,,2,36,100,100,1,,47,106,90,2135,0
9003,30,0,1,67,0,0,0,12,218,26,90,782,0
9004,19,0,2,23,900,70,1,3,170,73,100,1879,0
9005,36,,2,35,300,10,1,,824,73,62,1240,0
9006,24,0,2,80,900,0,1,43,382,106,90,782,0
9007,22,0,1,59,400,0,0,,548,106,90,327,0
9008,24,0,1,73,100,0,0,43,693,23,62,1793,0
9009,38,,2,60,800,190,1,,153,68,62,1776,0
9010,21,,2,12,300,0,0,,321,29,100,1508,0
9011,22,,1,54,0,70,1,7,89,73,216,502,0
9012,22,0,2,53,300,10,1,43,301,73,216,1211,0
9013,28,0,2,44,300,40,0,43,663,68,100,1481,0
9014,33,0,2,73,100,0,1,,264,106,90,763,0
9015,19,0,1,51,500,50,1,7,558,68,219,2134,0
9016,44,0,1,69,500,0,1,7,77,29,216,618,0
9017,23,0,2,57,600,140,0,,86,106,90,592,0
9018,61,1,2,55,800,0,1,,565,68,216,1087,1
9019,56,1,2,68,400,0,0,,1326,68,216,659,1
9020,63,,2,63,100,0,1,7,236,73,100,2021,0
9021,19,0,1,46,0,0,1,7,308,106,216,1211,0
9022,23,0,1,23,100,0,1,,760,68,216,1242,0
9023,20,0,1,65,100,0,1,,419,73,110,1342,0
9024,22,0,1,67,100,0,1,43,665,73,62,1417,0
9025,19,0,2,46,700,30,1,43,626,106,90,327,0
9026,33,0,1,40,600,60,1,43,417,106,90,1610,0
9027,,,1,,,,1,,620,68,216,1158,0
9028,21,,2,49,600,30,1,,509,23,216,338,0
9029,38,,2,35,500,0,0,7,25,106,90,772,
9030,32,0,2,51,300,90,1,43,606,26,90,782,0
9031,21,0,2,17,900,0,0,43,266,58,90,237,0
9032,22,,2,26,400,20,1,,92,68,216,1740,0
9033,45,1,2,19,200,0,1,7,620,29,216,614,1
9034,33,,1,62,700,0,1,7,82,73,100,1896,0
9035,31,,2,66,500,0,1,,312,68,62,815,0
9036,24,0,2,67,700,0,0,43,560,88,90,327,0
9037,22,0,1,69,800,100,1,43,523,106,90,1892,0
9038,58,0,2,30,0,0,1,7,635,29,62,464,1
9039,,,2,,,,1,,608,99,90,782,0
9040,31,1,2,53,300,370,1,43,435,68,216,1211,1
9041,25,0,1,73,200,30,1,,1692,68,100,172,0
9042,23,0,2,38,400,90,1,,817,68,216,1847,0
9043,26,0,2,68,800,0,1,43,728,73,62,1891,0
9044,30,0,1,46,500,0,1,7,206,73,5,178,0
9045,28,0,1,57,0,10,1,43,642,31,216,1462,0
9046,21,0,2,12,200,40,1,43,777,30,90,592,0
9047,34,0,2,59,700,340,1,43,442,106,90,1610,1
9048,20,0,1,77,400,10,1,7,535,68,216,1059,1
9049,29,0,2,80,400,10,0,,582,106,90,782,0
9050,26,0,1,70,0,10,1,7,609,68,62,1398,0
9051,40,0,2,80,100,0,0,,656,9,90,2135,0
9052,23,0,2,29,300,630,1,,1195,30,90,592,0
9053,24,,1,63,200,10,1,7,558,68,5,56,0
9054,40,1,2,46,100,0,1,7,384,68,40,2149,0
9055,20,,1,7,300,0,0,,267,29,100,30,0
9056,46,,2,54,400,10,1,,165,59,100,289,1
9057,25,0,2,28,0,70,1,,681,68,216,932,0
9058,22,0,1,66,700,0,1,7,320,23,100,2016,0
9059,24,0,1,48,100,0,1,7,373,106,90,2279,0
9060,27,,2,65,600,0,0,,54,106,90,237,0
9061,31,,2,80,300,190,0,,261,106,90,592,0
9062,23,0,1,8,0,220,1,,791,26,90,1610,0
9063,22,0,1,81,100,0,1,43,561,68,100,2016,0
9064,,0,2,48,200,0,1,7,583,68,62,931,0
9065,22,0,2,12,500,0,0,,1190,30,100,496,0
9066,26,0,1,35,400,830,1,,154,68,62,2126,0
9067,19,,1,37,300,200,0,,62,30,90,237,0
9068,60,,1,15,400,80,1,3,49,29,100,949,0
9069,22,,1,39,300,10,1,40,326,26,90,83,0
9070,25,,2,13,200,10,1,7,24,29,62,242,0
9071,66,,2,15,800,0,1,,626,23,100,1126,1
9072,44,1,2,54,100,0,0,3,126,68,40,1118,1
9073,36,1,1,41,600,0,1,,228,68,100,1801,1
9074,33,0,2,23,700,0,1,,1633,29,62,1845,0
9075,24,,2,72,400,0,0,,1220,106,90,592,0
9076,24,0,2,73,700,0,1,,1860,106,90,327,0
9077,33,0,2,71,600,10,1,43,637,30,90,83,0
9078,47,,2,81,700,40,1,7,89,68,62,1901,0
9079,30,0,2,34,100,0,1,,580,73,100,903,0
9080,31,0,2,81,900,30,1,50,266,41,219,2134,0
9081,20,,1,67,700,20,1,,311,68,100,11,0
9082,21,0,1,82,800,0,1,,442,106,90,2092,0
9083,26,1,2,81,500,10,1,,321,68,216,962,0
9084,23,0,1,22,900,0,1,43,695,29,100,2181,0
9085,25,0,1,37,200,210,1,43,672,106,90,2135,0
9086,49,,1,25,800,0,1,7,559,30,90,702,0
9087,30,0,2,71,500,10,1,7,675,68,216,1810,0
9088,51,1,1,53,500,0,1,43,635,9,90,83,0
9089,23,,1,17,900,0,1,,399,29,100,1114,0
9090,21,0,1,66,100,10,1,43,678,68,62,1238,0
9091,47,,2,5,500,20,1,12,396,29,62,1371,0
9092,26,0,2,73,500,0,1,45,1706,106,90,1471,0
9093,26,,2,51,300,0,1,,26,68,216,1462,0
9094,29,0,1,82,200,50,1,7,190,68,100,2017,0
9095,47,0,1,64,800,30,1,,671,68,216,2041,0
9096,25,0,1,74,700,40,1,43,688,73,62,321,0
9097,20,0,1,39,500,0,0,,154,106,90,327,0
9098,,,2,,,,1,,803,26,90,1077,0
9099,25,,1,34,500,20,1,,123,106,90,83,0
